Comunidad autónoma y tamaño del municipio;Indicador;Abonados;Total
Galicia;En porcentaje de la población total;Abonados o socios: Privados;12,8
Galicia;En porcentaje de la población total;Abonados o socios de gimnasios: Total;16,5
Galicia;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;8,7
Galicia;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;8,0
Galicia;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;14,8
Galicia;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;10,1
Galicia;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;5,2
Galicia;En porcentaje de la población que practicó deporte en el último año;Total;100
Galicia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;51,8
Galicia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;33,3
Galicia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;22,8
Galicia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;32,5
Galicia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;17,3
Galicia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;15,7
Galicia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;27,0
Galicia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;19,8
Galicia;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;8,2
Madrid (Comunidad de);En porcentaje de la población total;Total;100
Madrid (Comunidad de);En porcentaje de la población total;Abonados o socios: Total;31,3
Madrid (Comunidad de);En porcentaje de la población total;Abonados o socios: Públicos;20,0
Madrid (Comunidad de);En porcentaje de la población total;Abonados o socios: Privados;12,1
Madrid (Comunidad de);En porcentaje de la población total;Abonados o socios de gimnasios: Total;23,0
Madrid (Comunidad de);En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;15,7
Madrid (Comunidad de);En porcentaje de la población total;Abonados o socios de gimnasios: Privados;7,9
Madrid (Comunidad de);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;9,9
Madrid (Comunidad de);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;5,3
Madrid (Comunidad de);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;4,8
Madrid (Comunidad de);En porcentaje de la población que practicó deporte en el último año;Total;100
Madrid (Comunidad de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;50,8
Madrid (Comunidad de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;32,5
Madrid (Comunidad de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;19,6
Madrid (Comunidad de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;37,6
Madrid (Comunidad de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;25,7
Madrid (Comunidad de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;12,9
Madrid (Comunidad de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;15,8
Madrid (Comunidad de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;8,5
Madrid (Comunidad de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;7,7
Murcia (Región de);En porcentaje de la población total;Total;100
Murcia (Región de);En porcentaje de la población total;Abonados o socios: Total;24,1
Murcia (Región de);En porcentaje de la población total;Abonados o socios: Públicos;15,5
Murcia (Región de);En porcentaje de la población total;Abonados o socios: Privados;9,9
Murcia (Región de);En porcentaje de la población total;Abonados o socios de gimnasios: Total;15,2
Murcia (Región de);En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;10,5
Murcia (Región de);En porcentaje de la población total;Abonados o socios de gimnasios: Privados;5,3
Murcia (Región de);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;10,6
Murcia (Región de);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;5,6
Murcia (Región de);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;5,3
Murcia (Región de);En porcentaje de la población que practicó deporte en el último año;Total;100
Murcia (Región de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;45,3
Murcia (Región de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;29,1
Murcia (Región de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;18,4
Murcia (Región de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;29,1
Murcia (Región de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;19,9
Murcia (Región de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;9,8
Murcia (Región de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;19,8
Murcia (Región de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;10,5
Murcia (Región de);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;9,9
Navarra (Comunidad Foral de);En porcentaje de la población total;Total;100
Navarra (Comunidad Foral de);En porcentaje de la población total;Abonados o socios: Total;43,2
Navarra (Comunidad Foral de);En porcentaje de la población total;Abonados o socios: Públicos;21,0
Navarra (Comunidad Foral de);En porcentaje de la población total;Abonados o socios: Privados;25,0
Navarra (Comunidad Foral de);En porcentaje de la población total;Abonados o socios de gimnasios: Total;19,1
Navarra (Comunidad Foral de);En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;6,7
Navarra (Comunidad Foral de);En porcentaje de la población total;Abonados o socios de gimnasios: Privados;12,3
Navarra (Comunidad Foral de);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;29,3
