Indicador;Sexo, edad, nivel estudios, sit. labora, estado civil, tipo de hogar;periodo;Total
TOTAL (Millones de euros);Grupos de edad: De 16 a 29 años;2006;239,4
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2023;1.929,9
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2022;1.972,5
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2021;1.535,3
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2020;1.211,5
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2019;2.020,8
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2018;2.065,0
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2017;2.108,1
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2016;1.982,0
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2015;1.664,0
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2014;1.707,7
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2013;1.725,8
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2012;1.793,7
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2011;1.986,8
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2010;1.976,4
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2009;1.906,0
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2008;2.076,6
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2007;2.138,7
TOTAL (Millones de euros);Grupos de edad: De 30 a 44 años;2006;1.794,6
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2023;3.309,1
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2022;3.179,2
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2021;2.256,8
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2020;1.784,6
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2019;2.806,9
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2018;2.613,3
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2017;2.748,5
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2016;2.301,2
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2015;2.147,2
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2014;1.871,3
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2013;2.133,4
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2012;1.926,3
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2011;2.034,3
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2010;2.088,9
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2009;1.995,3
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2008;2.206,5
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2007;1.983,9
TOTAL (Millones de euros);Grupos de edad: De 45 a 64 años;2006;1.763,9
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2023;841,3
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2022;777,1
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2021;480,5
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2020;278,7
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2019;760,3
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2018;643,3
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2017;613,4
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2016;490,6
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2015;464,6
TOTAL (Millones de euros);Grupos de edad: De 65 años en adelante;2014;429,4
