Organismos;Indicador;Naturaleza económica del gasto;periodo;Total
Consejo Superior de Deportes;Porcentaje;GASTOS CORRIENTES;2022;96,0
Consejo Superior de Deportes;Porcentaje;GASTOS CORRIENTES;2021;95,7
Consejo Superior de Deportes;Porcentaje;GASTOS CORRIENTES;2020;93,7
Consejo Superior de Deportes;Porcentaje;GASTOS CORRIENTES;2019;95,2
Consejo Superior de Deportes;Porcentaje;GASTOS CORRIENTES;2018;94,5
Consejo Superior de Deportes;Porcentaje;Gastos de personal;2023;87,9
Consejo Superior de Deportes;Porcentaje;Gastos de personal;2022;72,1
Consejo Superior de Deportes;Porcentaje;Gastos de personal;2021;70,4
Consejo Superior de Deportes;Porcentaje;Gastos de personal;2020;71,1
Consejo Superior de Deportes;Porcentaje;Gastos de personal;2019;70,2
Consejo Superior de Deportes;Porcentaje;Gastos de personal;2018;71,3
Consejo Superior de Deportes;Porcentaje;Gastos corrientes en bienes y servicios;2023;88,8
Consejo Superior de Deportes;Porcentaje;Gastos corrientes en bienes y servicios;2022;77,5
Consejo Superior de Deportes;Porcentaje;Gastos corrientes en bienes y servicios;2021;78,4
Consejo Superior de Deportes;Porcentaje;Gastos corrientes en bienes y servicios;2020;73,6
Consejo Superior de Deportes;Porcentaje;Gastos corrientes en bienes y servicios;2019;75,5
Consejo Superior de Deportes;Porcentaje;Gastos corrientes en bienes y servicios;2018;73,3
Consejo Superior de Deportes;Porcentaje;Gastos financieros;2023;0,0
Consejo Superior de Deportes;Porcentaje;Gastos financieros;2022;100,0
Consejo Superior de Deportes;Porcentaje;Gastos financieros;2021;100,0
Consejo Superior de Deportes;Porcentaje;Gastos financieros;2020;0,0
Consejo Superior de Deportes;Porcentaje;Gastos financieros;2019;0,0
Consejo Superior de Deportes;Porcentaje;Gastos financieros;2018;96,6
Consejo Superior de Deportes;Porcentaje;Transferencias corrientes;2023;99,6
Consejo Superior de Deportes;Porcentaje;Transferencias corrientes;2022;99,6
Consejo Superior de Deportes;Porcentaje;Transferencias corrientes;2021;99,6
Consejo Superior de Deportes;Porcentaje;Transferencias corrientes;2020;97,6
Consejo Superior de Deportes;Porcentaje;Transferencias corrientes;2019;99,6
Consejo Superior de Deportes;Porcentaje;Transferencias corrientes;2018;99,6
Consejo Superior de Deportes;Porcentaje;GASTOS DE CAPITAL;2023;99,6
