Tipo de entidad;Indicador;Comunidad autónoma;periodo;Total
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2016;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2015;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2014;1.614.971
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2013;1.569.734
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2012;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2011;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);SUBTOTAL (Sin País Vasco y Navarra);2010;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2023;446.460
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2022;402.943
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2021;337.893
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2020;287.707
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2019;347.550
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2018;321.649
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2017;284.560
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2016;285.483
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2015;286.546
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2014;279.879
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2013;267.558
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2012;299.736
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2011;397.920
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Andalucía;2010;458.534
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2023;106.552
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2022;104.513
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2021;88.196
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2020;75.769
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2019;77.021
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2018;79.815
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2017;69.252
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2016;69.226
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2015;63.667
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2014;54.811
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2013;59.588
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2012;64.256
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2011;72.170
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Aragón;2010;95.361
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2023;68.717
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2022;58.724
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2021;47.089
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2020;48.157
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2019;50.935
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2018;46.558
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2017;45.987
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2016;47.166
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2015;49.499
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2014;46.257
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2013;42.865
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2012;45.410
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2011;58.616
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Asturias, Principado de;2010;76.905
