Federación;Categoría;Sexo;periodo;Total
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2010;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2009;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2008;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2007;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2006;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Hombres;2005;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2024;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2023;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2022;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2021;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2020;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2019;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2018;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2017;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2016;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2015;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2014;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2013;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2012;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2011;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2010;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2009;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2008;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2007;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2006;0
Deporte Parálisis Cerebral y DCA;Otras categorías;Mujeres;2005;0
Deportes de Hielo;TOTAL;TOTAL;2024;2
Deportes de Hielo;TOTAL;TOTAL;2023;8
Deportes de Hielo;TOTAL;TOTAL;2022;11
Deportes de Hielo;TOTAL;TOTAL;2021;12
Deportes de Hielo;TOTAL;TOTAL;2020;0
Deportes de Hielo;TOTAL;TOTAL;2019;1
Deportes de Hielo;TOTAL;TOTAL;2018;5
Deportes de Hielo;TOTAL;TOTAL;2017;7
Deportes de Hielo;TOTAL;TOTAL;2016;0
Deportes de Hielo;TOTAL;TOTAL;2015;0
Deportes de Hielo;TOTAL;TOTAL;2014;0
Deportes de Hielo;TOTAL;TOTAL;2013;0
Deportes de Hielo;TOTAL;TOTAL;2012;0
Deportes de Hielo;TOTAL;TOTAL;2011;0
Deportes de Hielo;TOTAL;TOTAL;2010;0
Deportes de Hielo;TOTAL;TOTAL;2009;0
Deportes de Hielo;TOTAL;TOTAL;2008;3
Deportes de Hielo;TOTAL;TOTAL;2007;0
Deportes de Hielo;TOTAL;TOTAL;2006;0
Deportes de Hielo;TOTAL;TOTAL;2005;0
Deportes de Hielo;TOTAL;Hombres;2024;0
Deportes de Hielo;TOTAL;Hombres;2023;5
Deportes de Hielo;TOTAL;Hombres;2022;7
Deportes de Hielo;TOTAL;Hombres;2021;6
Deportes de Hielo;TOTAL;Hombres;2020;0
Deportes de Hielo;TOTAL;Hombres;2019;1
Deportes de Hielo;TOTAL;Hombres;2018;4
Deportes de Hielo;TOTAL;Hombres;2017;6
Deportes de Hielo;TOTAL;Hombres;2016;0
Deportes de Hielo;TOTAL;Hombres;2015;0
Deportes de Hielo;TOTAL;Hombres;2014;0
Deportes de Hielo;TOTAL;Hombres;2013;0
Deportes de Hielo;TOTAL;Hombres;2012;0
Deportes de Hielo;TOTAL;Hombres;2011;0
Deportes de Hielo;TOTAL;Hombres;2010;0
Deportes de Hielo;TOTAL;Hombres;2009;0
Deportes de Hielo;TOTAL;Hombres;2008;3
Deportes de Hielo;TOTAL;Hombres;2007;0
Deportes de Hielo;TOTAL;Hombres;2006;0
Deportes de Hielo;TOTAL;Hombres;2005;0
Deportes de Hielo;TOTAL;Mujeres;2024;2
Deportes de Hielo;TOTAL;Mujeres;2023;3
Deportes de Hielo;TOTAL;Mujeres;2022;4
Deportes de Hielo;TOTAL;Mujeres;2021;6
Deportes de Hielo;TOTAL;Mujeres;2020;0
Deportes de Hielo;TOTAL;Mujeres;2019;0
Deportes de Hielo;TOTAL;Mujeres;2018;1
Deportes de Hielo;TOTAL;Mujeres;2017;1
Deportes de Hielo;TOTAL;Mujeres;2016;0
Deportes de Hielo;TOTAL;Mujeres;2015;0
Deportes de Hielo;TOTAL;Mujeres;2014;0
Deportes de Hielo;TOTAL;Mujeres;2013;0
Deportes de Hielo;TOTAL;Mujeres;2012;0
Deportes de Hielo;TOTAL;Mujeres;2011;0
Deportes de Hielo;TOTAL;Mujeres;2010;0
Deportes de Hielo;TOTAL;Mujeres;2009;0
Deportes de Hielo;TOTAL;Mujeres;2008;0
Deportes de Hielo;TOTAL;Mujeres;2007;0
Deportes de Hielo;TOTAL;Mujeres;2006;0
Deportes de Hielo;TOTAL;Mujeres;2005;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2024;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2023;3
Deportes de Hielo;Categoría Absoluta;TOTAL;2022;5
Deportes de Hielo;Categoría Absoluta;TOTAL;2021;5
Deportes de Hielo;Categoría Absoluta;TOTAL;2020;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2019;1
Deportes de Hielo;Categoría Absoluta;TOTAL;2018;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2017;2
Deportes de Hielo;Categoría Absoluta;TOTAL;2016;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2015;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2014;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2013;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2012;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2011;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2010;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2009;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2008;2
Deportes de Hielo;Categoría Absoluta;TOTAL;2007;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2006;0
Deportes de Hielo;Categoría Absoluta;TOTAL;2005;0
Deportes de Hielo;Categoría Absoluta;Hombres;2024;0
Deportes de Hielo;Categoría Absoluta;Hombres;2023;2
Deportes de Hielo;Categoría Absoluta;Hombres;2022;3
Deportes de Hielo;Categoría Absoluta;Hombres;2021;2
Deportes de Hielo;Categoría Absoluta;Hombres;2020;0
Deportes de Hielo;Categoría Absoluta;Hombres;2019;1
Deportes de Hielo;Categoría Absoluta;Hombres;2018;0
Deportes de Hielo;Categoría Absoluta;Hombres;2017;2
Deportes de Hielo;Categoría Absoluta;Hombres;2016;0
Deportes de Hielo;Categoría Absoluta;Hombres;2015;0
Deportes de Hielo;Categoría Absoluta;Hombres;2014;0
Deportes de Hielo;Categoría Absoluta;Hombres;2013;0
Deportes de Hielo;Categoría Absoluta;Hombres;2012;0
Deportes de Hielo;Categoría Absoluta;Hombres;2011;0
Deportes de Hielo;Categoría Absoluta;Hombres;2010;0
Deportes de Hielo;Categoría Absoluta;Hombres;2009;0
Deportes de Hielo;Categoría Absoluta;Hombres;2008;2
Deportes de Hielo;Categoría Absoluta;Hombres;2007;0
Deportes de Hielo;Categoría Absoluta;Hombres;2006;0
Deportes de Hielo;Categoría Absoluta;Hombres;2005;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2024;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2023;1
Deportes de Hielo;Categoría Absoluta;Mujeres;2022;2
Deportes de Hielo;Categoría Absoluta;Mujeres;2021;3
Deportes de Hielo;Categoría Absoluta;Mujeres;2020;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2019;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2018;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2017;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2016;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2015;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2014;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2013;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2012;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2011;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2010;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2009;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2008;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2007;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2006;0
Deportes de Hielo;Categoría Absoluta;Mujeres;2005;0
Deportes de Hielo;Otras categorías;TOTAL;2024;2
Deportes de Hielo;Otras categorías;TOTAL;2023;5
Deportes de Hielo;Otras categorías;TOTAL;2022;6
Deportes de Hielo;Otras categorías;TOTAL;2021;7
Deportes de Hielo;Otras categorías;TOTAL;2020;0
Deportes de Hielo;Otras categorías;TOTAL;2019;0
Deportes de Hielo;Otras categorías;TOTAL;2018;5
Deportes de Hielo;Otras categorías;TOTAL;2017;5
Deportes de Hielo;Otras categorías;TOTAL;2016;0
Deportes de Hielo;Otras categorías;TOTAL;2015;0
Deportes de Hielo;Otras categorías;TOTAL;2014;0
Deportes de Hielo;Otras categorías;TOTAL;2013;0
Deportes de Hielo;Otras categorías;TOTAL;2012;0
Deportes de Hielo;Otras categorías;TOTAL;2011;0
Deportes de Hielo;Otras categorías;TOTAL;2010;0
Deportes de Hielo;Otras categorías;TOTAL;2009;0
Deportes de Hielo;Otras categorías;TOTAL;2008;1
Deportes de Hielo;Otras categorías;TOTAL;2007;0
Deportes de Hielo;Otras categorías;TOTAL;2006;0
Deportes de Hielo;Otras categorías;TOTAL;2005;0
Deportes de Hielo;Otras categorías;Hombres;2024;0
Deportes de Hielo;Otras categorías;Hombres;2023;3
Deportes de Hielo;Otras categorías;Hombres;2022;4
Deportes de Hielo;Otras categorías;Hombres;2021;4
Deportes de Hielo;Otras categorías;Hombres;2020;0
Deportes de Hielo;Otras categorías;Hombres;2019;0
Deportes de Hielo;Otras categorías;Hombres;2018;4
Deportes de Hielo;Otras categorías;Hombres;2017;4
Deportes de Hielo;Otras categorías;Hombres;2016;0
Deportes de Hielo;Otras categorías;Hombres;2015;0
Deportes de Hielo;Otras categorías;Hombres;2014;0
Deportes de Hielo;Otras categorías;Hombres;2013;0
Deportes de Hielo;Otras categorías;Hombres;2012;0
Deportes de Hielo;Otras categorías;Hombres;2011;0
Deportes de Hielo;Otras categorías;Hombres;2010;0
Deportes de Hielo;Otras categorías;Hombres;2009;0
Deportes de Hielo;Otras categorías;Hombres;2008;1
Deportes de Hielo;Otras categorías;Hombres;2007;0
Deportes de Hielo;Otras categorías;Hombres;2006;0
Deportes de Hielo;Otras categorías;Hombres;2005;0
Deportes de Hielo;Otras categorías;Mujeres;2024;2
Deportes de Hielo;Otras categorías;Mujeres;2023;2
Deportes de Hielo;Otras categorías;Mujeres;2022;2
Deportes de Hielo;Otras categorías;Mujeres;2021;3
Deportes de Hielo;Otras categorías;Mujeres;2020;0
Deportes de Hielo;Otras categorías;Mujeres;2019;0
Deportes de Hielo;Otras categorías;Mujeres;2018;1
Deportes de Hielo;Otras categorías;Mujeres;2017;1
Deportes de Hielo;Otras categorías;Mujeres;2016;0
Deportes de Hielo;Otras categorías;Mujeres;2015;0
Deportes de Hielo;Otras categorías;Mujeres;2014;0
Deportes de Hielo;Otras categorías;Mujeres;2013;0
Deportes de Hielo;Otras categorías;Mujeres;2012;0
Deportes de Hielo;Otras categorías;Mujeres;2011;0
Deportes de Hielo;Otras categorías;Mujeres;2010;0
Deportes de Hielo;Otras categorías;Mujeres;2009;0
Deportes de Hielo;Otras categorías;Mujeres;2008;0
Deportes de Hielo;Otras categorías;Mujeres;2007;0
Deportes de Hielo;Otras categorías;Mujeres;2006;0
Deportes de Hielo;Otras categorías;Mujeres;2005;0
Espeleología;TOTAL;TOTAL;2024;0
Espeleología;TOTAL;TOTAL;2023;0
Espeleología;TOTAL;TOTAL;2022;..
Espeleología;TOTAL;TOTAL;2021;0
Espeleología;TOTAL;TOTAL;2020;0
Espeleología;TOTAL;TOTAL;2019;0
Espeleología;TOTAL;TOTAL;2018;0
Espeleología;TOTAL;TOTAL;2017;0
Espeleología;TOTAL;TOTAL;2016;0
Espeleología;TOTAL;TOTAL;2015;0
Espeleología;TOTAL;TOTAL;2014;1
Espeleología;TOTAL;TOTAL;2013;6
Espeleología;TOTAL;TOTAL;2012;6
Espeleología;TOTAL;TOTAL;2011;7
Espeleología;TOTAL;TOTAL;2010;8
Espeleología;TOTAL;TOTAL;2009;7
Espeleología;TOTAL;TOTAL;2008;5
Espeleología;TOTAL;TOTAL;2007;6
Espeleología;TOTAL;TOTAL;2006;4
Espeleología;TOTAL;TOTAL;2005;12
Espeleología;TOTAL;Hombres;2024;0
Espeleología;TOTAL;Hombres;2023;0
Espeleología;TOTAL;Hombres;2022;..
Espeleología;TOTAL;Hombres;2021;0
Espeleología;TOTAL;Hombres;2020;0
Espeleología;TOTAL;Hombres;2019;0
Espeleología;TOTAL;Hombres;2018;0
Espeleología;TOTAL;Hombres;2017;0
Espeleología;TOTAL;Hombres;2016;0
Espeleología;TOTAL;Hombres;2015;0
Espeleología;TOTAL;Hombres;2014;1
Espeleología;TOTAL;Hombres;2013;4
Espeleología;TOTAL;Hombres;2012;3
Espeleología;TOTAL;Hombres;2011;4
Espeleología;TOTAL;Hombres;2010;4
Espeleología;TOTAL;Hombres;2009;3
Espeleología;TOTAL;Hombres;2008;2
Espeleología;TOTAL;Hombres;2007;4
Espeleología;TOTAL;Hombres;2006;3
Espeleología;TOTAL;Hombres;2005;6
Espeleología;TOTAL;Mujeres;2024;0
Espeleología;TOTAL;Mujeres;2023;0
Espeleología;TOTAL;Mujeres;2022;..
Espeleología;TOTAL;Mujeres;2021;0
Espeleología;TOTAL;Mujeres;2020;0
Espeleología;TOTAL;Mujeres;2019;0
Espeleología;TOTAL;Mujeres;2018;0
Espeleología;TOTAL;Mujeres;2017;0
Espeleología;TOTAL;Mujeres;2016;0
Espeleología;TOTAL;Mujeres;2015;0
Espeleología;TOTAL;Mujeres;2014;0
Espeleología;TOTAL;Mujeres;2013;2
Espeleología;TOTAL;Mujeres;2012;3
Espeleología;TOTAL;Mujeres;2011;3
Espeleología;TOTAL;Mujeres;2010;4
Espeleología;TOTAL;Mujeres;2009;4
Espeleología;TOTAL;Mujeres;2008;3
Espeleología;TOTAL;Mujeres;2007;2
Espeleología;TOTAL;Mujeres;2006;1
Espeleología;TOTAL;Mujeres;2005;6
Espeleología;Categoría Absoluta;TOTAL;2024;0
Espeleología;Categoría Absoluta;TOTAL;2023;0
Espeleología;Categoría Absoluta;TOTAL;2022;..
Espeleología;Categoría Absoluta;TOTAL;2021;0
Espeleología;Categoría Absoluta;TOTAL;2020;0
Espeleología;Categoría Absoluta;TOTAL;2019;0
Espeleología;Categoría Absoluta;TOTAL;2018;0
Espeleología;Categoría Absoluta;TOTAL;2017;0
Espeleología;Categoría Absoluta;TOTAL;2016;0
Espeleología;Categoría Absoluta;TOTAL;2015;0
Espeleología;Categoría Absoluta;TOTAL;2014;1
Espeleología;Categoría Absoluta;TOTAL;2013;4
Espeleología;Categoría Absoluta;TOTAL;2012;4
Espeleología;Categoría Absoluta;TOTAL;2011;4
Espeleología;Categoría Absoluta;TOTAL;2010;4
Espeleología;Categoría Absoluta;TOTAL;2009;4
Espeleología;Categoría Absoluta;TOTAL;2008;1
Espeleología;Categoría Absoluta;TOTAL;2007;4
Espeleología;Categoría Absoluta;TOTAL;2006;2
Espeleología;Categoría Absoluta;TOTAL;2005;6
Espeleología;Categoría Absoluta;Hombres;2024;0
Espeleología;Categoría Absoluta;Hombres;2023;0
Espeleología;Categoría Absoluta;Hombres;2022;..
Espeleología;Categoría Absoluta;Hombres;2021;0
Espeleología;Categoría Absoluta;Hombres;2020;0
Espeleología;Categoría Absoluta;Hombres;2019;0
Espeleología;Categoría Absoluta;Hombres;2018;0
Espeleología;Categoría Absoluta;Hombres;2017;0
Espeleología;Categoría Absoluta;Hombres;2016;0
Espeleología;Categoría Absoluta;Hombres;2015;0
Espeleología;Categoría Absoluta;Hombres;2014;1
Espeleología;Categoría Absoluta;Hombres;2013;2
Espeleología;Categoría Absoluta;Hombres;2012;2
Espeleología;Categoría Absoluta;Hombres;2011;2
Espeleología;Categoría Absoluta;Hombres;2010;2
Espeleología;Categoría Absoluta;Hombres;2009;2
Espeleología;Categoría Absoluta;Hombres;2008;0
Espeleología;Categoría Absoluta;Hombres;2007;3
Espeleología;Categoría Absoluta;Hombres;2006;1
Espeleología;Categoría Absoluta;Hombres;2005;3
Espeleología;Categoría Absoluta;Mujeres;2024;0
Espeleología;Categoría Absoluta;Mujeres;2023;0
Espeleología;Categoría Absoluta;Mujeres;2022;..
Espeleología;Categoría Absoluta;Mujeres;2021;0
Espeleología;Categoría Absoluta;Mujeres;2020;0
Espeleología;Categoría Absoluta;Mujeres;2019;0
Espeleología;Categoría Absoluta;Mujeres;2018;0
Espeleología;Categoría Absoluta;Mujeres;2017;0
Espeleología;Categoría Absoluta;Mujeres;2016;0
Espeleología;Categoría Absoluta;Mujeres;2015;0
Espeleología;Categoría Absoluta;Mujeres;2014;0
Espeleología;Categoría Absoluta;Mujeres;2013;2
Espeleología;Categoría Absoluta;Mujeres;2012;2
Espeleología;Categoría Absoluta;Mujeres;2011;2
Espeleología;Categoría Absoluta;Mujeres;2010;2
Espeleología;Categoría Absoluta;Mujeres;2009;2
Espeleología;Categoría Absoluta;Mujeres;2008;1
Espeleología;Categoría Absoluta;Mujeres;2007;1
Espeleología;Categoría Absoluta;Mujeres;2006;1
Espeleología;Categoría Absoluta;Mujeres;2005;3
Espeleología;Otras categorías;TOTAL;2024;0
Espeleología;Otras categorías;TOTAL;2023;0
Espeleología;Otras categorías;TOTAL;2022;..
Espeleología;Otras categorías;TOTAL;2021;0
Espeleología;Otras categorías;TOTAL;2020;0
Espeleología;Otras categorías;TOTAL;2019;0
Espeleología;Otras categorías;TOTAL;2018;0
Espeleología;Otras categorías;TOTAL;2017;0
Espeleología;Otras categorías;TOTAL;2016;0
Espeleología;Otras categorías;TOTAL;2015;0
Espeleología;Otras categorías;TOTAL;2014;0
Espeleología;Otras categorías;TOTAL;2013;2
Espeleología;Otras categorías;TOTAL;2012;2
Espeleología;Otras categorías;TOTAL;2011;3
Espeleología;Otras categorías;TOTAL;2010;4
Espeleología;Otras categorías;TOTAL;2009;3
Espeleología;Otras categorías;TOTAL;2008;4
Espeleología;Otras categorías;TOTAL;2007;2
Espeleología;Otras categorías;TOTAL;2006;2
Espeleología;Otras categorías;TOTAL;2005;6
Espeleología;Otras categorías;Hombres;2024;0
Espeleología;Otras categorías;Hombres;2023;0
Espeleología;Otras categorías;Hombres;2022;..
Espeleología;Otras categorías;Hombres;2021;0
Espeleología;Otras categorías;Hombres;2020;0
Espeleología;Otras categorías;Hombres;2019;0
Espeleología;Otras categorías;Hombres;2018;0
Espeleología;Otras categorías;Hombres;2017;0
Espeleología;Otras categorías;Hombres;2016;0
Espeleología;Otras categorías;Hombres;2015;0
Espeleología;Otras categorías;Hombres;2014;0
Espeleología;Otras categorías;Hombres;2013;2
Espeleología;Otras categorías;Hombres;2012;1
Espeleología;Otras categorías;Hombres;2011;2
Espeleología;Otras categorías;Hombres;2010;2
Espeleología;Otras categorías;Hombres;2009;1
Espeleología;Otras categorías;Hombres;2008;2
Espeleología;Otras categorías;Hombres;2007;1
Espeleología;Otras categorías;Hombres;2006;2
Espeleología;Otras categorías;Hombres;2005;3
Espeleología;Otras categorías;Mujeres;2024;0
Espeleología;Otras categorías;Mujeres;2023;0
Espeleología;Otras categorías;Mujeres;2022;..
Espeleología;Otras categorías;Mujeres;2021;0
Espeleología;Otras categorías;Mujeres;2020;0
Espeleología;Otras categorías;Mujeres;2019;0
Espeleología;Otras categorías;Mujeres;2018;0
Espeleología;Otras categorías;Mujeres;2017;0
Espeleología;Otras categorías;Mujeres;2016;0
Espeleología;Otras categorías;Mujeres;2015;0
Espeleología;Otras categorías;Mujeres;2014;0
Espeleología;Otras categorías;Mujeres;2013;0
Espeleología;Otras categorías;Mujeres;2012;1
Espeleología;Otras categorías;Mujeres;2011;1
Espeleología;Otras categorías;Mujeres;2010;2
Espeleología;Otras categorías;Mujeres;2009;2
Espeleología;Otras categorías;Mujeres;2008;2
Espeleología;Otras categorías;Mujeres;2007;1
Espeleología;Otras categorías;Mujeres;2006;0
Espeleología;Otras categorías;Mujeres;2005;3
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2024;0
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2023;1
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2022;1
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2021;0
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2020;2
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2019;0
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2018;1
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2017;1
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2016;0
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2015;0
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2014;0
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2013;1
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2012;0
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2011;2
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2010;3
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2009;2
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2008;2
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2007;2
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2006;3
Esquí Náutico y Wakeboard;TOTAL;TOTAL;2005;3
Esquí Náutico y Wakeboard;TOTAL;Hombres;2024;0
Esquí Náutico y Wakeboard;TOTAL;Hombres;2023;1
Esquí Náutico y Wakeboard;TOTAL;Hombres;2022;1
Esquí Náutico y Wakeboard;TOTAL;Hombres;2021;0
Esquí Náutico y Wakeboard;TOTAL;Hombres;2020;2
Esquí Náutico y Wakeboard;TOTAL;Hombres;2019;0
Esquí Náutico y Wakeboard;TOTAL;Hombres;2018;0
Esquí Náutico y Wakeboard;TOTAL;Hombres;2017;0
Esquí Náutico y Wakeboard;TOTAL;Hombres;2016;0
Esquí Náutico y Wakeboard;TOTAL;Hombres;2015;0
Esquí Náutico y Wakeboard;TOTAL;Hombres;2014;0
Esquí Náutico y Wakeboard;TOTAL;Hombres;2013;0
Esquí Náutico y Wakeboard;TOTAL;Hombres;2012;0
Esquí Náutico y Wakeboard;TOTAL;Hombres;2011;1
Esquí Náutico y Wakeboard;TOTAL;Hombres;2010;2
Esquí Náutico y Wakeboard;TOTAL;Hombres;2009;1
Esquí Náutico y Wakeboard;TOTAL;Hombres;2008;1
Esquí Náutico y Wakeboard;TOTAL;Hombres;2007;1
Esquí Náutico y Wakeboard;TOTAL;Hombres;2006;2
Esquí Náutico y Wakeboard;TOTAL;Hombres;2005;1
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2024;0
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2023;0
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2022;0
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2021;0
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2020;0
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2019;0
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2018;1
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2017;1
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2016;0
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2015;0
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2014;0
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2013;1
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2012;0
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2011;1
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2010;1
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2009;1
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2008;1
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2007;1
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2006;1
Esquí Náutico y Wakeboard;TOTAL;Mujeres;2005;2
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2024;0
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2023;1
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2022;1
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2021;0
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2020;0
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2019;0
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2018;1
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2017;1
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2016;0
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2015;0
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2014;0
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2013;1
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2012;0
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2011;2
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2010;3
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2009;2
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2008;1
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2007;1
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2006;3
Esquí Náutico y Wakeboard;Categoría Absoluta;TOTAL;2005;3
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2024;0
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2023;1
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2022;1
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2021;0
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2020;0
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2019;0
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2018;0
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2017;0
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2016;0
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2015;0
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2014;0
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2013;0
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2012;0
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2011;1
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2010;2
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2009;1
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2008;1
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2007;1
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2006;2
Esquí Náutico y Wakeboard;Categoría Absoluta;Hombres;2005;1
Esquí Náutico y Wakeboard;Categoría Absoluta;Mujeres;2024;0
Esquí Náutico y Wakeboard;Categoría Absoluta;Mujeres;2023;0
Esquí Náutico y Wakeboard;Categoría Absoluta;Mujeres;2022;0
