Federación;Indicador;Medallas;periodo;Total
Boxeo;Campeonatos de Europa;Plata;2023;2
Boxeo;Campeonatos de Europa;Plata;2022;3
Boxeo;Campeonatos de Europa;Plata;2021;3
Boxeo;Campeonatos de Europa;Plata;2020;1
Boxeo;Campeonatos de Europa;Plata;2019;0
Boxeo;Campeonatos de Europa;Plata;2018;1
Boxeo;Campeonatos de Europa;Plata;2017;2
Boxeo;Campeonatos de Europa;Plata;2016;0
Boxeo;Campeonatos de Europa;Plata;2015;0
Boxeo;Campeonatos de Europa;Plata;2014;0
Boxeo;Campeonatos de Europa;Plata;2013;0
Boxeo;Campeonatos de Europa;Plata;2012;0
Boxeo;Campeonatos de Europa;Plata;2011;0
Boxeo;Campeonatos de Europa;Plata;2010;0
Boxeo;Campeonatos de Europa;Plata;2009;0
Boxeo;Campeonatos de Europa;Plata;2008;1
Boxeo;Campeonatos de Europa;Plata;2007;0
Boxeo;Campeonatos de Europa;Plata;2006;0
Boxeo;Campeonatos de Europa;Plata;2005;0
Boxeo;Campeonatos de Europa;Bronce;2024;2
Boxeo;Campeonatos de Europa;Bronce;2023;0
Boxeo;Campeonatos de Europa;Bronce;2022;5
Boxeo;Campeonatos de Europa;Bronce;2021;4
Boxeo;Campeonatos de Europa;Bronce;2020;2
Boxeo;Campeonatos de Europa;Bronce;2019;0
Boxeo;Campeonatos de Europa;Bronce;2018;1
Boxeo;Campeonatos de Europa;Bronce;2017;2
Boxeo;Campeonatos de Europa;Bronce;2016;0
Boxeo;Campeonatos de Europa;Bronce;2015;2
Boxeo;Campeonatos de Europa;Bronce;2014;0
Boxeo;Campeonatos de Europa;Bronce;2013;0
Boxeo;Campeonatos de Europa;Bronce;2012;0
Boxeo;Campeonatos de Europa;Bronce;2011;0
Boxeo;Campeonatos de Europa;Bronce;2010;1
Boxeo;Campeonatos de Europa;Bronce;2009;0
Boxeo;Campeonatos de Europa;Bronce;2008;0
Boxeo;Campeonatos de Europa;Bronce;2007;0
Boxeo;Campeonatos de Europa;Bronce;2006;0
Boxeo;Campeonatos de Europa;Bronce;2005;0
Caza;TOTAL;TOTAL;2024;9
Caza;TOTAL;TOTAL;2023;14
Caza;TOTAL;TOTAL;2022;10
Caza;TOTAL;TOTAL;2021;6
Caza;TOTAL;TOTAL;2020;0
Caza;TOTAL;TOTAL;2019;10
Caza;TOTAL;TOTAL;2018;5
Caza;TOTAL;TOTAL;2017;0
Caza;TOTAL;TOTAL;2016;0
Caza;TOTAL;TOTAL;2015;0
Caza;TOTAL;TOTAL;2014;14
Caza;TOTAL;TOTAL;2013;8
Caza;TOTAL;TOTAL;2012;13
Caza;TOTAL;TOTAL;2011;21
Caza;TOTAL;TOTAL;2010;15
Caza;TOTAL;TOTAL;2009;14
Caza;TOTAL;TOTAL;2008;12
Caza;TOTAL;TOTAL;2007;12
Caza;TOTAL;TOTAL;2006;7
Caza;TOTAL;TOTAL;2005;0
Caza;TOTAL;Oro;2024;4
Caza;TOTAL;Oro;2023;5
Caza;TOTAL;Oro;2022;1
Caza;TOTAL;Oro;2021;3
Caza;TOTAL;Oro;2020;0
Caza;TOTAL;Oro;2019;1
Caza;TOTAL;Oro;2018;0
Caza;TOTAL;Oro;2017;0
Caza;TOTAL;Oro;2016;0
Caza;TOTAL;Oro;2015;0
Caza;TOTAL;Oro;2014;5
Caza;TOTAL;Oro;2013;0
Caza;TOTAL;Oro;2012;5
Caza;TOTAL;Oro;2011;6
Caza;TOTAL;Oro;2010;8
Caza;TOTAL;Oro;2009;3
Caza;TOTAL;Oro;2008;4
Caza;TOTAL;Oro;2007;3
Caza;TOTAL;Oro;2006;3
Caza;TOTAL;Oro;2005;0
Caza;TOTAL;Plata;2024;4
Caza;TOTAL;Plata;2023;5
Caza;TOTAL;Plata;2022;5
Caza;TOTAL;Plata;2021;1
Caza;TOTAL;Plata;2020;0
Caza;TOTAL;Plata;2019;8
Caza;TOTAL;Plata;2018;4
Caza;TOTAL;Plata;2017;0
Caza;TOTAL;Plata;2016;0
Caza;TOTAL;Plata;2015;0
Caza;TOTAL;Plata;2014;2
Caza;TOTAL;Plata;2013;5
Caza;TOTAL;Plata;2012;2
Caza;TOTAL;Plata;2011;8
Caza;TOTAL;Plata;2010;7
Caza;TOTAL;Plata;2009;8
Caza;TOTAL;Plata;2008;4
Caza;TOTAL;Plata;2007;6
Caza;TOTAL;Plata;2006;1
Caza;TOTAL;Plata;2005;0
Caza;TOTAL;Bronce;2024;1
Caza;TOTAL;Bronce;2023;4
Caza;TOTAL;Bronce;2022;4
Caza;TOTAL;Bronce;2021;2
Caza;TOTAL;Bronce;2020;0
Caza;TOTAL;Bronce;2019;1
Caza;TOTAL;Bronce;2018;1
Caza;TOTAL;Bronce;2017;0
Caza;TOTAL;Bronce;2016;0
Caza;TOTAL;Bronce;2015;0
Caza;TOTAL;Bronce;2014;7
Caza;TOTAL;Bronce;2013;3
Caza;TOTAL;Bronce;2012;6
Caza;TOTAL;Bronce;2011;7
Caza;TOTAL;Bronce;2010;0
Caza;TOTAL;Bronce;2009;3
Caza;TOTAL;Bronce;2008;4
Caza;TOTAL;Bronce;2007;3
Caza;TOTAL;Bronce;2006;3
Caza;TOTAL;Bronce;2005;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2024;1
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2023;6
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2022;4
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2021;5
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2020;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2019;9
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2018;3
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2017;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2016;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2015;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2014;8
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2013;3
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2012;7
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2011;12
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2010;9
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2009;8
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2008;8
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2007;10
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2006;6
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2005;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2024;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2023;1
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2022;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2021;2
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2020;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2019;1
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2018;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2017;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2016;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2015;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2014;4
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2013;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2012;2
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2011;4
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2010;6
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2009;1
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2008;4
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2007;3
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2006;3
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2005;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2024;1
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2023;2
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2022;2
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2021;1
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2020;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2019;7
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2018;2
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2017;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2016;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2015;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2014;1
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2013;2
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2012;1
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2011;3
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2010;3
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2009;6
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2008;2
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2007;5
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2006;1
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2005;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2024;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2023;3
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2022;2
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2021;2
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2020;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2019;1
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2018;1
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2017;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2016;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2015;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2014;3
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2013;1
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2012;4
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2011;5
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2010;0
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2009;1
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2008;2
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2007;2
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2006;2
Caza;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2005;0
Caza;Campeonatos de Europa;TOTAL;2024;8
Caza;Campeonatos de Europa;TOTAL;2023;8
Caza;Campeonatos de Europa;TOTAL;2022;6
Caza;Campeonatos de Europa;TOTAL;2021;1
Caza;Campeonatos de Europa;TOTAL;2020;0
Caza;Campeonatos de Europa;TOTAL;2019;1
Caza;Campeonatos de Europa;TOTAL;2018;2
Caza;Campeonatos de Europa;TOTAL;2017;0
Caza;Campeonatos de Europa;TOTAL;2016;0
Caza;Campeonatos de Europa;TOTAL;2015;0
Caza;Campeonatos de Europa;TOTAL;2014;6
Caza;Campeonatos de Europa;TOTAL;2013;5
Caza;Campeonatos de Europa;TOTAL;2012;6
Caza;Campeonatos de Europa;TOTAL;2011;9
Caza;Campeonatos de Europa;TOTAL;2010;6
Caza;Campeonatos de Europa;TOTAL;2009;6
Caza;Campeonatos de Europa;TOTAL;2008;4
Caza;Campeonatos de Europa;TOTAL;2007;2
Caza;Campeonatos de Europa;TOTAL;2006;1
Caza;Campeonatos de Europa;TOTAL;2005;0
Caza;Campeonatos de Europa;Oro;2024;4
Caza;Campeonatos de Europa;Oro;2023;4
Caza;Campeonatos de Europa;Oro;2022;1
Caza;Campeonatos de Europa;Oro;2021;1
Caza;Campeonatos de Europa;Oro;2020;0
Caza;Campeonatos de Europa;Oro;2019;0
Caza;Campeonatos de Europa;Oro;2018;0
Caza;Campeonatos de Europa;Oro;2017;0
Caza;Campeonatos de Europa;Oro;2016;0
Caza;Campeonatos de Europa;Oro;2015;0
Caza;Campeonatos de Europa;Oro;2014;1
Caza;Campeonatos de Europa;Oro;2013;0
Caza;Campeonatos de Europa;Oro;2012;3
Caza;Campeonatos de Europa;Oro;2011;2
Caza;Campeonatos de Europa;Oro;2010;2
Caza;Campeonatos de Europa;Oro;2009;2
Caza;Campeonatos de Europa;Oro;2008;0
Caza;Campeonatos de Europa;Oro;2007;0
Caza;Campeonatos de Europa;Oro;2006;0
Caza;Campeonatos de Europa;Oro;2005;0
Caza;Campeonatos de Europa;Plata;2024;3
Caza;Campeonatos de Europa;Plata;2023;3
Caza;Campeonatos de Europa;Plata;2022;3
Caza;Campeonatos de Europa;Plata;2021;0
Caza;Campeonatos de Europa;Plata;2020;0
Caza;Campeonatos de Europa;Plata;2019;1
Caza;Campeonatos de Europa;Plata;2018;2
Caza;Campeonatos de Europa;Plata;2017;0
Caza;Campeonatos de Europa;Plata;2016;0
Caza;Campeonatos de Europa;Plata;2015;0
Caza;Campeonatos de Europa;Plata;2014;1
Caza;Campeonatos de Europa;Plata;2013;3
Caza;Campeonatos de Europa;Plata;2012;1
Caza;Campeonatos de Europa;Plata;2011;5
Caza;Campeonatos de Europa;Plata;2010;4
Caza;Campeonatos de Europa;Plata;2009;2
Caza;Campeonatos de Europa;Plata;2008;2
Caza;Campeonatos de Europa;Plata;2007;1
Caza;Campeonatos de Europa;Plata;2006;0
Caza;Campeonatos de Europa;Plata;2005;0
Caza;Campeonatos de Europa;Bronce;2024;1
Caza;Campeonatos de Europa;Bronce;2023;1
Caza;Campeonatos de Europa;Bronce;2022;2
Caza;Campeonatos de Europa;Bronce;2021;0
Caza;Campeonatos de Europa;Bronce;2020;0
Caza;Campeonatos de Europa;Bronce;2019;0
Caza;Campeonatos de Europa;Bronce;2018;0
Caza;Campeonatos de Europa;Bronce;2017;0
Caza;Campeonatos de Europa;Bronce;2016;0
Caza;Campeonatos de Europa;Bronce;2015;0
Caza;Campeonatos de Europa;Bronce;2014;4
Caza;Campeonatos de Europa;Bronce;2013;2
Caza;Campeonatos de Europa;Bronce;2012;2
Caza;Campeonatos de Europa;Bronce;2011;2
Caza;Campeonatos de Europa;Bronce;2010;0
Caza;Campeonatos de Europa;Bronce;2009;2
Caza;Campeonatos de Europa;Bronce;2008;2
Caza;Campeonatos de Europa;Bronce;2007;1
Caza;Campeonatos de Europa;Bronce;2006;1
Caza;Campeonatos de Europa;Bronce;2005;0
Ciclismo;TOTAL;TOTAL;2024;46
Ciclismo;TOTAL;TOTAL;2023;46
Ciclismo;TOTAL;TOTAL;2022;27
Ciclismo;TOTAL;TOTAL;2021;46
Ciclismo;TOTAL;TOTAL;2020;17
Ciclismo;TOTAL;TOTAL;2019;30
Ciclismo;TOTAL;TOTAL;2018;28
Ciclismo;TOTAL;TOTAL;2017;22
Ciclismo;TOTAL;TOTAL;2016;29
Ciclismo;TOTAL;TOTAL;2015;18
Ciclismo;TOTAL;TOTAL;2014;17
Ciclismo;TOTAL;TOTAL;2013;19
Ciclismo;TOTAL;TOTAL;2012;16
Ciclismo;TOTAL;TOTAL;2011;14
Ciclismo;TOTAL;TOTAL;2010;22
Ciclismo;TOTAL;TOTAL;2009;19
Ciclismo;TOTAL;TOTAL;2008;26
Ciclismo;TOTAL;TOTAL;2007;24
Ciclismo;TOTAL;TOTAL;2006;19
Ciclismo;TOTAL;TOTAL;2005;17
Ciclismo;TOTAL;Oro;2024;16
Ciclismo;TOTAL;Oro;2023;16
Ciclismo;TOTAL;Oro;2022;8
Ciclismo;TOTAL;Oro;2021;14
Ciclismo;TOTAL;Oro;2020;6
Ciclismo;TOTAL;Oro;2019;8
Ciclismo;TOTAL;Oro;2018;8
Ciclismo;TOTAL;Oro;2017;6
Ciclismo;TOTAL;Oro;2016;8
Ciclismo;TOTAL;Oro;2015;6
Ciclismo;TOTAL;Oro;2014;4
Ciclismo;TOTAL;Oro;2013;4
Ciclismo;TOTAL;Oro;2012;4
Ciclismo;TOTAL;Oro;2011;5
Ciclismo;TOTAL;Oro;2010;11
Ciclismo;TOTAL;Oro;2009;6
Ciclismo;TOTAL;Oro;2008;14
Ciclismo;TOTAL;Oro;2007;9
Ciclismo;TOTAL;Oro;2006;4
Ciclismo;TOTAL;Oro;2005;3
Ciclismo;TOTAL;Plata;2024;15
Ciclismo;TOTAL;Plata;2023;21
Ciclismo;TOTAL;Plata;2022;8
Ciclismo;TOTAL;Plata;2021;14
Ciclismo;TOTAL;Plata;2020;3
Ciclismo;TOTAL;Plata;2019;12
Ciclismo;TOTAL;Plata;2018;4
Ciclismo;TOTAL;Plata;2017;6
Ciclismo;TOTAL;Plata;2016;6
Ciclismo;TOTAL;Plata;2015;7
Ciclismo;TOTAL;Plata;2014;7
Ciclismo;TOTAL;Plata;2013;7
Ciclismo;TOTAL;Plata;2012;5
Ciclismo;TOTAL;Plata;2011;4
Ciclismo;TOTAL;Plata;2010;7
Ciclismo;TOTAL;Plata;2009;7
Ciclismo;TOTAL;Plata;2008;3
Ciclismo;TOTAL;Plata;2007;9
Ciclismo;TOTAL;Plata;2006;4
Ciclismo;TOTAL;Plata;2005;6
Ciclismo;TOTAL;Bronce;2024;15
Ciclismo;TOTAL;Bronce;2023;9
Ciclismo;TOTAL;Bronce;2022;11
Ciclismo;TOTAL;Bronce;2021;18
Ciclismo;TOTAL;Bronce;2020;8
Ciclismo;TOTAL;Bronce;2019;10
Ciclismo;TOTAL;Bronce;2018;16
Ciclismo;TOTAL;Bronce;2017;10
Ciclismo;TOTAL;Bronce;2016;15
Ciclismo;TOTAL;Bronce;2015;5
Ciclismo;TOTAL;Bronce;2014;6
Ciclismo;TOTAL;Bronce;2013;8
Ciclismo;TOTAL;Bronce;2012;7
Ciclismo;TOTAL;Bronce;2011;5
Ciclismo;TOTAL;Bronce;2010;4
Ciclismo;TOTAL;Bronce;2009;6
Ciclismo;TOTAL;Bronce;2008;9
Ciclismo;TOTAL;Bronce;2007;6
Ciclismo;TOTAL;Bronce;2006;11
Ciclismo;TOTAL;Bronce;2005;8
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2024;32
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2023;20
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2022;17
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2021;34
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2020;12
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2019;20
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2018;20
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2017;13
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2016;16
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2015;9
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2014;9
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2013;12
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2012;11
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2011;6
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2010;13
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2009;10
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2008;20
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2007;13
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2006;14
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2005;15
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2024;12
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2023;9
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2022;5
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2021;12
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2020;4
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2019;5
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2018;6
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2017;2
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2016;4
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2015;2
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2014;2
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2013;3
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2012;4
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2011;2
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2010;6
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2009;5
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2008;13
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2007;4
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2006;3
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2005;3
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2024;9
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2023;7
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2022;3
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2021;10
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2020;2
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2019;9
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2018;3
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2017;4
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2016;4
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2015;4
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2014;3
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2013;4
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2012;3
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2011;2
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2010;5
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2009;2
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2008;1
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2007;5
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2006;3
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2005;6
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2024;11
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2023;4
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2022;9
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2021;12
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2020;6
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2019;6
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2018;11
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2017;7
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2016;8
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2015;3
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2014;4
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2013;5
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2012;4
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2011;2
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2010;2
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2009;3
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2008;6
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2007;4
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2006;8
Ciclismo;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2005;6
Ciclismo;Campeonatos de Europa;TOTAL;2024;14
Ciclismo;Campeonatos de Europa;TOTAL;2023;26
Ciclismo;Campeonatos de Europa;TOTAL;2022;10
Ciclismo;Campeonatos de Europa;TOTAL;2021;12
Ciclismo;Campeonatos de Europa;TOTAL;2020;5
Ciclismo;Campeonatos de Europa;TOTAL;2019;10
Ciclismo;Campeonatos de Europa;TOTAL;2018;8
Ciclismo;Campeonatos de Europa;TOTAL;2017;9
Ciclismo;Campeonatos de Europa;TOTAL;2016;13
Ciclismo;Campeonatos de Europa;TOTAL;2015;9
Ciclismo;Campeonatos de Europa;TOTAL;2014;8
Ciclismo;Campeonatos de Europa;TOTAL;2013;7
Ciclismo;Campeonatos de Europa;TOTAL;2012;5
Ciclismo;Campeonatos de Europa;TOTAL;2011;8
Ciclismo;Campeonatos de Europa;TOTAL;2010;9
Ciclismo;Campeonatos de Europa;TOTAL;2009;9
Ciclismo;Campeonatos de Europa;TOTAL;2008;6
Ciclismo;Campeonatos de Europa;TOTAL;2007;11
Ciclismo;Campeonatos de Europa;TOTAL;2006;5
Ciclismo;Campeonatos de Europa;TOTAL;2005;2
Ciclismo;Campeonatos de Europa;Oro;2024;4
Ciclismo;Campeonatos de Europa;Oro;2023;7
Ciclismo;Campeonatos de Europa;Oro;2022;3
Ciclismo;Campeonatos de Europa;Oro;2021;2
Ciclismo;Campeonatos de Europa;Oro;2020;2
Ciclismo;Campeonatos de Europa;Oro;2019;3
Ciclismo;Campeonatos de Europa;Oro;2018;2
Ciclismo;Campeonatos de Europa;Oro;2017;4
Ciclismo;Campeonatos de Europa;Oro;2016;4
Ciclismo;Campeonatos de Europa;Oro;2015;4
Ciclismo;Campeonatos de Europa;Oro;2014;2
Ciclismo;Campeonatos de Europa;Oro;2013;1
Ciclismo;Campeonatos de Europa;Oro;2012;0
Ciclismo;Campeonatos de Europa;Oro;2011;3
