Indicador;Número de asalariados;periodo;Total
En % total de empresas;De 6 a 9 asalariados;2016;1,8
En % total de empresas;De 6 a 9 asalariados;2015;1,6
En % total de empresas;De 6 a 9 asalariados;2014;1,5
En % total de empresas;De 6 a 9 asalariados;2013;1,1
En % total de empresas;De 6 a 9 asalariados;2012;1,0
En % total de empresas;De 6 a 9 asalariados;2011;0,9
En % total de empresas;De 6 a 9 asalariados;2010;0,8
En % total de empresas;De 6 a 9 asalariados;2009;0,8
En % total de empresas;De 6 a 9 asalariados;2008;0,8
En % total de empresas;De 10 a 49 asalariados;2024;2,4
En % total de empresas;De 10 a 49 asalariados;2023;2,3
En % total de empresas;De 10 a 49 asalariados;2022;2,3
En % total de empresas;De 10 a 49 asalariados;2021;2,1
En % total de empresas;De 10 a 49 asalariados;2020;2,2
En % total de empresas;De 10 a 49 asalariados;2019;2,2
En % total de empresas;De 10 a 49 asalariados;2018;2,0
En % total de empresas;De 10 a 49 asalariados;2017;2,1
En % total de empresas;De 10 a 49 asalariados;2016;2,1
En % total de empresas;De 10 a 49 asalariados;2015;2,0
En % total de empresas;De 10 a 49 asalariados;2014;1,9
En % total de empresas;De 10 a 49 asalariados;2013;1,8
En % total de empresas;De 10 a 49 asalariados;2012;1,7
En % total de empresas;De 10 a 49 asalariados;2011;1,5
En % total de empresas;De 10 a 49 asalariados;2010;1,4
En % total de empresas;De 10 a 49 asalariados;2009;1,3
En % total de empresas;De 10 a 49 asalariados;2008;1,1
En % total de empresas;De 50 a 99 asalariados;2024;1,9
En % total de empresas;De 50 a 99 asalariados;2023;1,8
En % total de empresas;De 50 a 99 asalariados;2022;1,7
En % total de empresas;De 50 a 99 asalariados;2021;1,6
En % total de empresas;De 50 a 99 asalariados;2020;1,7
En % total de empresas;De 50 a 99 asalariados;2019;1,7
En % total de empresas;De 50 a 99 asalariados;2018;1,4
En % total de empresas;De 50 a 99 asalariados;2017;1,4
En % total de empresas;De 50 a 99 asalariados;2016;1,5
En % total de empresas;De 50 a 99 asalariados;2015;1,5
En % total de empresas;De 50 a 99 asalariados;2014;1,5
En % total de empresas;De 50 a 99 asalariados;2013;1,6
En % total de empresas;De 50 a 99 asalariados;2012;1,5
En % total de empresas;De 50 a 99 asalariados;2011;1,4
En % total de empresas;De 50 a 99 asalariados;2010;1,2
En % total de empresas;De 50 a 99 asalariados;2009;1,2
En % total de empresas;De 50 a 99 asalariados;2008;1,1
