Indicador;Comunidad autónoma;periodo;Total
Valores absolutos;Murcia, Región de;2013;731,0
Valores absolutos;Murcia, Región de;2012;706,0
Valores absolutos;Murcia, Región de;2011;672,0
Valores absolutos;Murcia, Región de;2010;652,0
Valores absolutos;Murcia, Región de;2009;649,0
Valores absolutos;Murcia, Región de;2008;624,0
Valores absolutos;Navarra, Comunidad Foral de;2024;686,0
Valores absolutos;Navarra, Comunidad Foral de;2023;662,0
Valores absolutos;Navarra, Comunidad Foral de;2022;692,0
Valores absolutos;Navarra, Comunidad Foral de;2021;653,0
Valores absolutos;Navarra, Comunidad Foral de;2020;649,0
Valores absolutos;Navarra, Comunidad Foral de;2019;652,0
Valores absolutos;Navarra, Comunidad Foral de;2018;476,0
Valores absolutos;Navarra, Comunidad Foral de;2017;452,0
Valores absolutos;Navarra, Comunidad Foral de;2016;415,0
Valores absolutos;Navarra, Comunidad Foral de;2015;392,0
Valores absolutos;Navarra, Comunidad Foral de;2014;356,0
Valores absolutos;Navarra, Comunidad Foral de;2013;325,0
Valores absolutos;Navarra, Comunidad Foral de;2012;320,0
Valores absolutos;Navarra, Comunidad Foral de;2011;304,0
Valores absolutos;Navarra, Comunidad Foral de;2010;303,0
Valores absolutos;Navarra, Comunidad Foral de;2009;307,0
Valores absolutos;Navarra, Comunidad Foral de;2008;299,0
Valores absolutos;País Vasco;2024;2.162,0
Valores absolutos;País Vasco;2023;2.060,0
Valores absolutos;País Vasco;2022;2.052,0
Valores absolutos;País Vasco;2021;1.926,0
Valores absolutos;País Vasco;2020;1.916,0
Valores absolutos;País Vasco;2019;1.761,0
Valores absolutos;País Vasco;2018;1.337,0
Valores absolutos;País Vasco;2017;1.292,0
Valores absolutos;País Vasco;2016;1.288,0
Valores absolutos;País Vasco;2015;1.226,0
Valores absolutos;País Vasco;2014;1.162,0
Valores absolutos;País Vasco;2013;1.144,0
Valores absolutos;País Vasco;2012;1.193,0
Valores absolutos;País Vasco;2011;1.177,0
Valores absolutos;País Vasco;2010;1.214,0
Valores absolutos;País Vasco;2009;1.361,0
Valores absolutos;País Vasco;2008;1.392,0
Valores absolutos;Rioja, La;2024;314,0
Valores absolutos;Rioja, La;2023;295,0
Valores absolutos;Rioja, La;2022;303,0
Valores absolutos;Rioja, La;2021;270,0
Valores absolutos;Rioja, La;2020;282,0
Valores absolutos;Rioja, La;2019;276,0
Valores absolutos;Rioja, La;2018;237,0
Valores absolutos;Rioja, La;2017;230,0
Valores absolutos;Rioja, La;2016;221,0
Valores absolutos;Rioja, La;2015;211,0
Valores absolutos;Rioja, La;2014;202,0
Valores absolutos;Rioja, La;2013;189,0
Valores absolutos;Rioja, La;2012;179,0
Valores absolutos;Rioja, La;2011;165,0
Valores absolutos;Rioja, La;2010;160,0
Valores absolutos;Rioja, La;2009;147,0
Valores absolutos;Rioja, La;2008;143,0
Valores absolutos;Ceuta y Melilla;2024;135,0
Valores absolutos;Ceuta y Melilla;2023;132,0
Valores absolutos;Ceuta y Melilla;2022;154,0
Valores absolutos;Ceuta y Melilla;2021;143,0
Valores absolutos;Ceuta y Melilla;2020;137,0
Valores absolutos;Ceuta y Melilla;2019;127,0
Valores absolutos;Ceuta y Melilla;2018;115,0
Valores absolutos;Ceuta y Melilla;2017;114,0
Valores absolutos;Ceuta y Melilla;2016;112,0
Valores absolutos;Ceuta y Melilla;2015;104,0
Valores absolutos;Ceuta y Melilla;2014;94,0
Valores absolutos;Ceuta y Melilla;2013;87,0
Valores absolutos;Ceuta y Melilla;2012;79,0
Valores absolutos;Ceuta y Melilla;2011;78,0
Valores absolutos;Ceuta y Melilla;2010;..
